BusNum,ID,Status,Area,Zone,Pd,Qd,Other1,Other2,Other3,Other4,Other5,Other6,Other7,Other8
110140,1 ,1,7,1,9.400,1.350,0.000,0.000,0.000,0.000,1,1,0,
110141,1 ,1,7,1,8.800,2.860,0.000,0.000,0.000,0.000,1,1,0,
110141,2 ,1,7,1,9.300,2.110,0.000,0.000,0.000,0.000,1,1,0,
110142,1 ,1,7,1,3.160,0.900,0.000,0.000,0.000,0.000,1,1,0,
110142,2 ,1,7,1,18.300,15.600,0.000,0.000,0.000,0.000,1,1,0,
110143,1 ,1,7,1,6.300,0.900,0.000,0.000,0.000,0.000,1,1,0,
110144,1 ,1,7,1,2.640,0.301,0.000,0.000,0.000,0.000,1,1,0,
110144,5 ,1,7,1,66.300,33.600,0.000,0.000,0.000,0.000,1,1,0,
110145,1 ,1,7,1,1.880,0.380,0.000,0.000,0.000,0.000,1,1,0,
110146,1 ,1,7,1,0.960,0.221,0.000,0.000,0.000,0.000,1,1,0,
110147,1 ,1,7,1,6.500,0.830,0.000,0.000,0.000,0.000,1,1,0,
110148,1 ,1,7,1,2.860,0.221,0.000,0.000,0.000,0.000,1,1,0,
110149,1 ,1,7,1,9.800,3.540,0.000,0.000,0.000,0.000,1,1,0,
110150,1 ,1,7,1,5.200,1.580,0.000,0.000,0.000,0.000,1,1,0,
110151,1 ,1,7,1,6.400,2.030,0.000,0.000,0.000,0.000,1,1,0,
110152,1 ,1,7,1,4.070,0.530,0.000,0.000,0.000,0.000,1,1,0,
110153,1 ,1,7,1,5.400,1.950,0.000,0.000,0.000,0.000,1,1,0,
110154,1 ,1,7,1,5.700,1.730,0.000,0.000,0.000,0.000,1,1,0,
110155,1 ,1,7,1,4.900,1.730,0.000,0.000,0.000,0.000,1,1,0,
110156,1 ,1,7,1,4.600,0.750,0.000,0.000,0.000,0.000,1,1,0,
110157,1 ,1,7,1,6.300,0.680,0.000,0.000,0.000,0.000,1,1,0,
110158,1 ,1,7,1,2.860,0.750,0.000,0.000,0.000,0.000,1,1,0,
110159,1 ,1,7,1,2.790,0.980,0.000,0.000,0.000,0.000,1,1,0,
110161,1 ,1,7,1,2.640,0.221,0.000,0.000,0.000,0.000,1,1,0,
110161,2 ,1,7,1,8.500,6.400,0.000,0.000,0.000,0.000,1,1,0,
110163,1 ,1,7,1,42.100,12.600,0.000,0.000,0.000,0.000,1,1,0,
110164,1 ,1,7,1,22.200,6.700,0.000,0.000,0.000,0.000,1,1,0,
110164,2 ,1,7,1,8.000,4.800,0.000,0.000,0.000,0.000,1,1,0,
110166,1 ,1,7,1,37.900,5.700,0.000,0.000,0.000,0.000,1,1,0,
110167,1 ,1,7,1,25.700,3.240,0.000,0.000,0.000,0.000,1,1,0,
110168,1 ,1,7,1,26.400,5.600,0.000,0.000,0.000,0.000,1,1,0,
110170,1 ,1,7,1,40.200,11.000,0.000,0.000,0.000,0.000,1,1,0,
110171,1 ,1,7,1,4.900,1.580,0.000,0.000,0.000,0.000,1,1,0,
110173,1 ,1,7,1,54.700,11.600,0.000,0.000,0.000,0.000,1,1,0,
110175,1 ,1,7,1,43.100,11.700,0.000,0.000,0.000,0.000,1,1,0,
110177,1 ,1,7,1,59.100,16.800,0.000,0.000,0.000,0.000,1,1,0,
110177,2 ,1,7,1,17.800,1.950,0.000,0.000,0.000,0.000,1,1,0,
110178,1 ,1,7,1,33.300,10.300,0.000,0.000,0.000,0.000,1,1,0,
110179,1 ,1,7,1,23.400,7.100,0.000,0.000,0.000,0.000,1,1,0,
110180,1 ,1,7,1,10.000,2.180,0.000,0.000,0.000,0.000,1,1,0,
110181,1 ,1,7,1,5.300,1.280,0.000,0.000,0.000,0.000,1,1,0,
110181,2 ,1,7,1,11.900,9.300,0.000,0.000,0.000,0.000,1,1,0,
110182,1 ,1,7,1,6.400,1.950,0.000,0.000,0.000,0.000,1,1,0,
110183,1 ,1,7,1,9.200,3.310,0.000,0.000,0.000,0.000,1,1,0,
110184,1 ,1,7,1,5.300,1.280,0.000,0.000,0.000,0.000,1,1,0,
110185,1 ,1,7,1,3.890,1.130,0.000,0.000,0.000,0.000,1,1,0,
110186,1 ,1,7,1,5.300,0.830,0.000,0.000,0.000,0.000,1,1,0,
110187,1 ,1,7,1,10.800,2.640,0.000,0.000,0.000,0.000,1,1,0,
110187,2 ,1,7,1,6.100,5.300,0.000,0.000,0.000,0.000,1,1,0,
110189,1 ,1,7,1,7.900,1.200,0.000,0.000,0.000,0.000,1,1,0,
110192,1 ,1,7,1,6.400,1.580,0.000,0.000,0.000,0.000,1,1,0,
110193,1 ,1,7,1,5.700,1.430,0.000,0.000,0.000,0.000,1,1,0,
110194,1 ,1,7,1,3.610,0.150,0.000,0.000,0.000,0.000,1,1,0,
110195,1 ,1,7,1,4.800,1.500,0.000,0.000,0.000,0.000,1,1,0,
110196,1 ,1,7,1,2.410,0.530,0.000,0.000,0.000,0.000,1,1,0,
110197,1 ,1,7,1,8.000,2.710,0.000,0.000,0.000,0.000,1,1,0,
110198,1 ,1,7,1,5.300,1.580,0.000,0.000,0.000,0.000,1,1,0,
110198,2 ,1,7,1,10.800,6.700,0.000,0.000,0.000,0.000,1,1,0,
110199,1 ,1,7,1,4.800,1.500,0.000,0.000,0.000,0.000,1,1,0,
110200,1 ,1,7,1,7.300,2.110,0.000,0.000,0.000,0.000,1,1,0,
110201,1 ,1,7,1,4.420,0.900,0.000,0.000,0.000,0.000,1,1,0,
110202,1 ,1,7,1,3.240,0.680,0.000,0.000,0.000,0.000,1,1,0,
110203,1 ,1,7,1,3.010,0.221,0.000,0.000,0.000,0.000,1,1,0,
110204,1 ,1,7,1,1.330,0.301,0.000,0.000,0.000,0.000,1,1,0,
110205,1 ,1,7,1,3.690,0.600,0.000,0.000,0.000,0.000,1,1,0,
110206,1 ,1,7,1,5.800,1.500,0.000,0.000,0.000,0.000,1,1,0,
110207,1 ,1,7,1,3.890,0.830,0.000,0.000,0.000,0.000,1,1,0,
110208,1 ,1,7,1,5.300,0.750,0.000,0.000,0.000,0.000,1,1,0,
110209,1 ,1,7,1,8.000,2.940,0.000,0.000,0.000,0.000,1,1,0,
110210,1 ,1,7,1,7.500,1.800,0.000,0.000,0.000,0.000,1,1,0,
110211,1 ,1,7,1,5.300,1.950,0.000,0.000,0.000,0.000,1,1,0,
110212,5 ,1,7,1,63.700,41.600,0.000,0.000,0.000,0.000,1,1,0,
110213,1 ,1,7,1,6.800,2.340,0.000,0.000,0.000,0.000,1,1,0,
110214,1 ,1,7,1,4.900,1.730,0.000,0.000,0.000,0.000,1,1,0,
110215,1 ,1,7,1,5.400,1.430,0.000,0.000,0.000,0.000,1,1,0,
110216,1 ,1,7,1,8.700,2.340,0.000,0.000,0.000,0.000,1,1,0,
110217,1 ,1,7,1,7.000,2.110,0.000,0.000,0.000,0.000,1,1,0,
110218,1 ,1,7,1,4.330,1.200,0.000,0.000,0.000,0.000,1,1,0,
110219,1 ,1,7,1,3.690,1.130,0.000,0.000,0.000,0.000,1,1,0,
110220,1 ,1,7,1,3.890,0.750,0.000,0.000,0.000,0.000,1,1,0,
110221,1 ,1,7,1,1.950,0.450,0.000,0.000,0.000,0.000,1,1,0,
110222,1 ,1,7,1,3.390,1.200,0.000,0.000,0.000,0.000,1,1,0,
110223,1 ,1,7,1,7.400,2.640,0.000,0.000,0.000,0.000,1,1,0,
110224,1 ,1,7,1,3.800,1.200,0.000,0.000,0.000,0.000,1,1,0,
110225,1 ,1,7,1,5.600,0.150,0.000,0.000,0.000,0.000,1,1,0,
110226,1 ,1,7,1,6.000,1.050,0.000,0.000,0.000,0.000,1,1,0,
110227,1 ,1,7,1,2.490,0.450,0.000,0.000,0.000,0.000,1,1,0,
110228,1 ,1,7,1,3.090,0.900,0.000,0.000,0.000,0.000,1,1,0,
110229,1 ,1,7,1,4.600,1.130,0.000,0.000,0.000,0.000,1,1,0,
110230,1 ,1,7,1,2.180,0.600,0.000,0.000,0.000,0.000,1,1,0,
110231,1 ,1,7,1,1.800,0.380,0.000,0.000,0.000,0.000,1,1,0,
110232,1 ,1,7,1,6.200,1.800,0.000,0.000,0.000,0.000,1,1,0,
110233,1 ,1,7,1,2.860,0.830,0.000,0.000,0.000,0.000,1,1,0,
110234,1 ,1,7,1,3.240,0.830,0.000,0.000,0.000,0.000,1,1,0,
110235,1 ,1,7,1,5.000,0.150,0.000,0.000,0.000,0.000,1,1,0,
110236,1 ,1,7,1,3.010,0.750,0.000,0.000,0.000,0.000,1,1,0,
110237,1 ,1,7,1,1.320,0.380,0.000,0.000,0.000,0.000,1,1,0,
110238,1 ,1,7,1,6.100,1.950,0.000,0.000,0.000,0.000,1,1,0,
110239,1 ,1,7,1,4.330,1.200,0.000,0.000,0.000,0.000,1,1,0,
110240,1 ,1,7,1,5.700,1.350,0.000,0.000,0.000,0.000,1,1,0,
110241,1 ,1,7,1,1.950,0.380,0.000,0.000,0.000,0.000,1,1,0,
110242,1 ,1,7,1,4.600,1.580,0.000,0.000,0.000,0.000,1,1,0,
110243,1 ,1,7,1,4.800,1.430,0.000,0.000,0.000,0.000,1,1,0,
110244,1 ,1,7,1,4.250,1.430,0.000,0.000,0.000,0.000,1,1,0,
110245,1 ,1,7,1,5.400,0.980,0.000,0.000,0.000,0.000,1,1,0,
110246,1 ,1,7,1,6.500,1.950,0.000,0.000,0.000,0.000,1,1,0,
110247,1 ,1,7,1,4.250,0.680,0.000,0.000,0.000,0.000,1,1,0,
110248,1 ,1,7,1,5.600,0.980,0.000,0.000,0.000,0.000,1,1,0,
110249,1 ,1,7,1,5.600,0.900,0.000,0.000,0.000,0.000,1,1,0,
110250,1 ,1,7,1,4.500,1.280,0.000,0.000,0.000,0.000,1,1,0,
110251,1 ,1,7,1,5.000,1.050,0.000,0.000,0.000,0.000,1,1,0,
110252,1 ,1,7,1,2.790,0.380,0.000,0.000,0.000,0.000,1,1,0,
110253,1 ,1,7,1,4.250,0.380,0.000,0.000,0.000,0.000,1,1,0,
110254,1 ,1,7,1,5.700,0.750,0.000,0.000,0.000,0.000,1,1,0,
110255,1 ,1,7,1,7.600,0.980,0.000,0.000,0.000,0.000,1,1,0,
110256,1 ,1,7,1,5.600,1.880,0.000,0.000,0.000,0.000,1,1,0,
110257,1 ,1,7,1,5.700,1.280,0.000,0.000,0.000,0.000,1,1,0,
110258,1 ,1,7,1,2.260,0.680,0.000,0.000,0.000,0.000,1,1,0,
110259,1 ,1,7,1,7.200,1.130,0.000,0.000,0.000,0.000,1,1,0,
110260,1 ,1,7,1,1.140,0.150,0.000,0.000,0.000,0.000,1,1,0,
110261,1 ,1,7,1,8.900,2.560,0.000,0.000,0.000,0.000,1,1,0,
110263,1 ,1,7,1,8.900,2.640,0.000,0.000,0.000,0.000,1,1,0,
110264,1 ,1,7,1,4.600,0.900,0.000,0.000,0.000,0.000,1,1,0,
110265,1 ,1,7,1,7.400,0.221,0.000,0.000,0.000,0.000,1,1,0,
110266,1 ,1,7,1,7.200,0.530,0.000,0.000,0.000,0.000,1,1,0,
110267,1 ,1,7,1,6.700,1.650,0.000,0.000,0.000,0.000,1,1,0,
110268,1 ,1,7,1,9.300,1.730,0.000,0.000,0.000,0.000,1,1,0,
110268,2 ,1,7,1,6.800,7.000,0.000,0.000,0.000,0.000,1,1,0,
110269,1 ,1,7,1,6.800,1.800,0.000,0.000,0.000,0.000,1,1,0,
110270,1 ,1,7,1,4.250,1.050,0.000,0.000,0.000,0.000,1,1,0,
110271,1 ,1,7,1,6.800,1.800,0.000,0.000,0.000,0.000,1,1,0,
110272,1 ,1,7,1,8.000,1.050,0.000,0.000,0.000,0.000,1,1,0,
110274,1 ,1,7,1,7.600,1.880,0.000,0.000,0.000,0.000,1,1,0,
110275,1 ,1,7,1,9.300,2.490,0.000,0.000,0.000,0.000,1,1,0,
110276,1 ,1,7,1,5.100,1.050,0.000,0.000,0.000,0.000,1,1,0,
110277,1 ,1,7,1,3.090,0.600,0.000,0.000,0.000,0.000,1,1,0,
110277,2 ,1,7,1,7.500,0.900,0.000,0.000,0.000,0.000,1,1,0,
110278,1 ,1,7,1,3.760,0.450,0.000,0.000,0.000,0.000,1,1,0,
110278,2 ,1,7,1,7.700,2.030,0.000,0.000,0.000,0.000,1,1,0,
110279,1 ,1,7,1,1.060,0.080,0.000,0.000,0.000,0.000,1,1,0,
110280,1 ,1,7,1,2.410,0.600,0.000,0.000,0.000,0.000,1,1,0,
110281,1 ,1,7,1,1.650,0.150,0.000,0.000,0.000,0.000,1,1,0,
110282,1 ,1,7,1,1.050,0.150,0.000,0.000,0.000,0.000,1,1,0,
110283,1 ,1,7,1,1.800,0.530,0.000,0.000,0.000,0.000,1,1,0,
110284,1 ,1,7,1,1.060,0.380,0.000,0.000,0.000,0.000,1,1,0,
110285,1 ,1,7,1,0.750,0.221,0.000,0.000,0.000,0.000,1,1,0,
110286,1 ,1,7,1,1.180,0.380,0.000,0.000,0.000,0.000,1,1,0,
110287,1 ,1,7,1,0.900,0.301,0.000,0.000,0.000,0.000,1,1,0,
110288,1 ,1,7,1,5.600,1.350,0.000,0.000,0.000,0.000,1,1,0,
110290,1 ,1,7,1,14.000,2.860,0.000,0.000,0.000,0.000,1,1,0,
110292,1 ,1,7,1,7.300,2.410,0.000,0.000,0.000,0.000,1,1,0,
110294,1 ,1,7,1,12.600,0.900,0.000,0.000,0.000,0.000,1,1,0,
110296,1 ,1,7,1,19.200,3.310,0.000,0.000,0.000,0.000,1,1,0,
110299,1 ,1,7,1,8.800,1.730,0.000,0.000,0.000,0.000,1,1,0,
110300,1 ,1,7,1,9.000,1.800,0.000,0.000,0.000,0.000,1,1,0,
110301,1 ,1,7,1,9.800,0.830,0.000,0.000,0.000,0.000,1,1,0,
110302,1 ,1,7,1,4.250,0.600,0.000,0.000,0.000,0.000,1,1,0,
110303,1 ,1,7,1,5.700,1.200,0.000,0.000,0.000,0.000,1,1,0,
110304,1 ,1,7,1,8.100,0.980,0.000,0.000,0.000,0.000,1,1,0,
110305,1 ,1,7,1,12.300,1.500,0.000,0.000,0.000,0.000,1,1,0,
110306,1 ,1,7,1,11.800,3.980,0.000,0.000,0.000,0.000,1,1,0,
110307,1 ,1,7,1,2.030,0.221,0.000,0.000,0.000,0.000,1,1,0,
110308,1 ,1,7,1,5.000,0.450,0.000,0.000,0.000,0.000,1,1,0,
110310,1 ,1,7,1,23.800,5.000,0.000,0.000,0.000,0.000,1,1,0,
110311,1 ,1,7,1,11.100,3.460,0.000,0.000,0.000,0.000,1,1,0,
110312,1 ,1,7,1,2.490,0.680,0.000,0.000,0.000,0.000,1,1,0,
110313,1 ,1,7,1,37.900,12.500,0.000,0.000,0.000,0.000,1,1,0,
110314,1 ,1,7,1,28.100,9.200,0.000,0.000,0.000,0.000,1,1,0,
110315,1 ,1,7,1,35.000,6.900,0.000,0.000,0.000,0.000,1,1,0,
110316,1 ,1,7,1,16.200,2.790,0.000,0.000,0.000,0.000,1,1,0,
110318,1 ,1,7,1,43.700,4.500,0.000,0.000,0.000,0.000,1,1,0,
110319,1 ,1,7,1,34.900,11.200,0.000,0.000,0.000,0.000,1,1,0,
110320,1 ,1,7,1,37.300,12.600,0.000,0.000,0.000,0.000,1,1,0,
110321,1 ,1,7,1,38.400,11.800,0.000,0.000,0.000,0.000,1,1,0,
110322,1 ,1,7,1,37.900,11.200,0.000,0.000,0.000,0.000,1,1,0,
110323,1 ,1,7,1,34.100,8.600,0.000,0.000,0.000,0.000,1,1,0,
110324,1 ,1,7,1,19.400,5.600,0.000,0.000,0.000,0.000,1,1,0,
110326,1 ,1,7,1,48.000,13.600,0.000,0.000,0.000,0.000,1,1,0,
110327,1 ,1,7,1,34.900,12.300,0.000,0.000,0.000,0.000,1,1,0,
110328,1 ,1,7,1,30.800,10.300,0.000,0.000,0.000,0.000,1,1,0,
110330,1 ,1,7,1,38.400,13.700,0.000,0.000,0.000,0.000,1,1,0,
110332,1 ,1,7,1,40.400,8.800,0.000,0.000,0.000,0.000,1,1,0,
110333,1 ,1,7,1,1.280,0.150,0.000,0.000,0.000,0.000,1,1,0,
110335,1 ,1,7,1,57.900,19.400,0.000,0.000,0.000,0.000,1,1,0,
110337,1 ,1,7,1,60.900,10.300,0.000,0.000,0.000,0.000,1,1,0,
110337,2 ,1,7,1,5.600,2.030,0.000,0.000,0.000,0.000,1,1,0,
110338,5 ,1,7,1,110.600,79.600,0.000,0.000,0.000,0.000,1,1,0,
110339,1 ,1,7,1,46.400,6.100,0.000,0.000,0.000,0.000,1,1,0,
110340,5 ,1,7,1,176.900,16.800,0.000,0.000,0.000,0.000,1,1,0,
110341,1 ,1,7,1,48.100,16.900,0.000,0.000,0.000,0.000,1,1,0,
110344,1 ,1,7,1,10.900,2.260,0.000,0.000,0.000,0.000,1,1,0,
110345,1 ,1,7,1,20.300,4.160,0.000,0.000,0.000,0.000,1,1,0,
110346,1 ,1,7,1,5.700,1.880,0.000,0.000,0.000,0.000,1,1,0,
110347,1 ,1,7,1,9.300,1.430,0.000,0.000,0.000,0.000,1,1,0,
110348,1 ,1,7,1,8.200,1.280,0.000,0.000,0.000,0.000,1,1,0,
110349,1 ,1,7,1,2.640,0.530,0.000,0.000,0.000,0.000,1,1,0,
110350,1 ,1,7,1,18.300,3.540,0.000,0.000,0.000,0.000,1,1,0,
110351,1 ,1,7,1,3.240,1.050,0.000,0.000,0.000,0.000,1,1,0,
110352,1 ,1,7,1,3.160,0.680,0.000,0.000,0.000,0.000,1,1,0,
110354,1 ,1,7,1,34.900,8.900,0.000,0.000,0.000,0.000,1,1,0,
110355,1 ,1,7,1,28.100,5.800,0.000,0.000,0.000,0.000,1,1,0,
110355,2 ,1,7,1,6.200,2.790,0.000,0.000,0.000,0.000,1,1,0,
110356,1 ,1,7,1,18.800,0.830,0.000,0.000,0.000,0.000,1,1,0,
110358,1 ,1,7,1,10.900,3.540,0.000,0.000,0.000,0.000,1,1,0,
110359,1 ,1,7,1,12.900,3.610,0.000,0.000,0.000,0.000,1,1,0,
110360,1 ,1,7,1,8.000,1.500,0.000,0.000,0.000,0.000,1,1,0,
110361,1 ,1,7,1,4.330,0.900,0.000,0.000,0.000,0.000,1,1,0,
110362,1 ,1,7,1,11.500,3.890,0.000,0.000,0.000,0.000,1,1,0,
110363,1 ,1,7,1,4.800,1.580,0.000,0.000,0.000,0.000,1,1,0,
110364,1 ,1,7,1,42.800,3.800,0.000,0.000,0.000,0.000,1,1,0,
110364,2 ,1,7,1,12.000,6.300,0.000,0.000,0.000,0.000,1,1,0,
110366,1 ,1,7,1,42.800,8.800,0.000,0.000,0.000,0.000,1,1,0,
110367,1 ,1,7,1,20.500,2.260,0.000,0.000,0.000,0.000,1,1,0,
110369,1 ,1,7,1,21.700,7.800,0.000,0.000,0.000,0.000,1,1,0,
110370,1 ,1,7,1,24.300,7.400,0.000,0.000,0.000,0.000,1,1,0,
110371,1 ,1,7,1,12.900,0.830,0.000,0.000,0.000,0.000,1,1,0,
110372,1 ,1,7,1,10.100,3.010,0.000,0.000,0.000,0.000,1,1,0,
110373,1 ,1,7,1,9.700,0.380,0.000,0.000,0.000,0.000,1,1,0,
110374,1 ,1,7,1,18.900,3.240,0.000,0.000,0.000,0.000,1,1,0,
110376,1 ,1,7,1,19.500,6.000,0.000,0.000,0.000,0.000,1,1,0,
110377,1 ,1,7,1,11.900,3.800,0.000,0.000,0.000,0.000,1,1,0,
110378,1 ,1,7,1,15.700,1.880,0.000,0.000,0.000,0.000,1,1,0,
110379,1 ,1,7,1,18.600,6.100,0.000,0.000,0.000,0.000,1,1,0,
110380,1 ,1,7,1,13.800,4.800,0.000,0.000,0.000,0.000,1,1,0,
110382,1 ,1,7,1,35.200,6.600,0.000,0.000,0.000,0.000,1,1,0,
110384,1 ,1,7,1,30.500,10.700,0.000,0.000,0.000,0.000,1,1,0,
110385,1 ,1,7,1,5.700,0.750,0.000,0.000,0.000,0.000,1,1,0,
110386,1 ,1,7,1,4.070,0.380,0.000,0.000,0.000,0.000,1,1,0,
110388,1 ,1,7,1,31.800,8.800,0.000,0.000,0.000,0.000,1,1,0,
110389,1 ,1,7,1,33.100,11.900,0.000,0.000,0.000,0.000,1,1,0,
110390,1 ,1,7,1,40.900,13.300,0.000,0.000,0.000,0.000,1,1,0,
110390,2 ,1,7,1,10.600,7.800,0.000,0.000,0.000,0.000,1,1,0,
110391,1 ,1,7,1,31.800,3.980,0.000,0.000,0.000,0.000,1,1,0,
110393,1 ,1,7,1,50.200,15.200,0.000,0.000,0.000,0.000,1,1,0,
110393,2 ,1,7,1,15.500,1.730,0.000,0.000,0.000,0.000,1,1,0,
110394,1 ,1,7,1,23.400,6.800,0.000,0.000,0.000,0.000,1,1,0,
110396,1 ,1,7,1,22.000,3.390,0.000,0.000,0.000,0.000,1,1,0,
110399,1 ,1,7,1,11.500,3.090,0.000,0.000,0.000,0.000,1,1,0,
110400,1 ,1,7,1,23.400,0.680,0.000,0.000,0.000,0.000,1,1,0,
110401,1 ,1,7,1,8.200,1.500,0.000,0.000,0.000,0.000,1,1,0,
110401,2 ,1,7,1,44.600,28.000,0.000,0.000,0.000,0.000,1,1,0,
110402,1 ,1,7,1,5.500,1.730,0.000,0.000,0.000,0.000,1,1,0,
110403,1 ,1,7,1,0.013,0.000,0.000,0.000,0.000,0.000,1,1,0,
110404,5 ,1,7,1,185.800,111.500,0.000,0.000,0.000,0.000,1,1,0,
110405,1 ,1,7,1,52.700,5.700,0.000,0.000,0.000,0.000,1,1,0,
110406,1 ,1,7,1,30.800,3.090,0.000,0.000,0.000,0.000,1,1,0,
110406,2 ,1,7,1,10.000,1.800,0.000,0.000,0.000,0.000,1,1,0,
110407,1 ,1,7,1,39.500,14.100,0.000,0.000,0.000,0.000,1,1,0,
110408,1 ,1,7,1,43.500,9.000,0.000,0.000,0.000,0.000,1,1,0,
110409,1 ,1,7,1,4.600,1.130,0.000,0.000,0.000,0.000,1,1,0,
110411,1 ,1,7,1,43.700,9.300,0.000,0.000,0.000,0.000,1,1,0,
110411,2 ,1,7,1,5.300,4.600,0.000,0.000,0.000,0.000,1,1,0,
110415,1 ,1,7,1,47.100,9.600,0.000,0.000,0.000,0.000,1,1,0,
110416,1 ,1,7,1,39.400,7.800,0.000,0.000,0.000,0.000,1,1,0,
110419,1 ,1,7,1,46.500,15.300,0.000,0.000,0.000,0.000,1,1,0,
110420,1 ,1,7,1,31.300,9.300,0.000,0.000,0.000,0.000,1,1,0,
110422,1 ,1,7,1,45.800,8.100,0.000,0.000,0.000,0.000,1,1,0,
110423,1 ,1,7,1,24.500,8.100,0.000,0.000,0.000,0.000,1,1,0,
